accountAgeDays,numItems,localTime,paymentMethod,paymentMethodAgeDays,Category,isWeekend,label
29,1,4.745402,paypal,28.20486111,shopping,0,0
725,1,4.742303,storecredit,0,electronics,0,0
845,1,4.921318,creditcard,0,food,1,0
503,1,4.886641,creditcard,0,electronics,1,0
2000,1,5.040929,creditcard,0,shopping,0,0
119,1,4.962055,paypal,0,shopping,0,0
2000,1,4.921349,paypal,0,electronics,1,0
371,1,4.876771,creditcard,0,electronics,0,0
2000,1,4.748314,creditcard,0,electronics,0,0
4,1,4.461622,creditcard,0,shopping,1,0
26,1,4.745402,paypal,0,food,0,0
2000,1,4.505662,creditcard,0.000694444,food,0,0
3,1,4.962055,creditcard,2.690972222,electronics,0,0
3,1,4.921318,creditcard,2.069444444,food,0,0
23,1,4.745402,creditcard,0.001388889,shopping,1,0
5,1,4.921349,paypal,4.036111111,shopping,1,0
1208,1,4.836982,creditcard,0.000694444,electronics,1,0
11,1,4.921349,creditcard,10.86597222,shopping,1,0
123,1,4.748314,creditcard,0.000694444,electronics,0,0
2000,1,4.895263,creditcard,248.7743056,electronics,1,0
1672,1,5.034622,creditcard,978.7527778,shopping,0,0
36,1,4.742303,creditcard,0.014583333,shopping,0,0
16,1,4.886641,creditcard,15.79652778,electronics,0,0
278,1,5.034622,creditcard,6.892361111,shopping,1,0
223,1,4.748314,creditcard,0,food,1,0
30,1,4.057414,creditcard,0,electronics,1,0
2,1,4.921349,creditcard,0,shopping,0,0
2000,1,3.483951,creditcard,503.425,electronics,1,0
1936,1,4.057414,creditcard,635.6416667,shopping,1,0
2000,1,4.921318,creditcard,948.8069444,electronics,0,0
2,1,4.505662,creditcard,1.203472222,food,0,0
2000,1,4.836982,creditcard,0.001388889,food,1,0
998,1,4.921318,creditcard,0,shopping,0,0
914,1,4.461622,creditcard,0.005555556,food,1,0
23,1,2.596228,creditcard,0.000694444,shopping,1,0
2000,1,5.017904,creditcard,0,electronics,1,0
2,1,4.836982,creditcard,1.697222222,food,1,0
19,1,4.505662,paypal,0,electronics,1,0
18,1,4.965339,creditcard,0,shopping,1,0
1562,1,4.505662,creditcard,981.3465278,food,1,0
288,1,4.748314,paypal,0,food,0,0
310,1,4.965339,creditcard,96.94236111,shopping,0,0
2,1,4.921318,creditcard,0,food,0,0
2000,1,4.965339,storecredit,0,food,0,0
2,1,5.034622,creditcard,1.097916667,electronics,0,0
2000,1,4.52458,paypal,0.004861111,electronics,0,0
1144,1,4.876771,creditcard,1142.90625,food,1,0
1743,1,4.836982,creditcard,367.8138889,food,0,0
817,1,4.962055,creditcard,0.003472222,shopping,0,0
2000,1,4.742303,creditcard,0.006944444,electronics,1,0
179,1,4.921318,storecredit,0,electronics,0,0
2000,1,4.886641,storecredit,212.1402778,shopping,1,0
204,1,4.886641,creditcard,0.035416667,electronics,1,0
2000,1,4.748314,paypal,641.3215278,electronics,0,0
2000,1,4.965339,creditcard,348.3055556,shopping,0,0
546,1,4.895263,paypal,0.000694444,food,0,0
2000,1,4.921318,paypal,597.16875,electronics,0,0
1409,1,4.962055,creditcard,0.002777778,food,0,0
210,1,4.876771,creditcard,0,food,0,0
2000,1,4.745402,paypal,1034.671528,food,1,0
107,1,4.962055,creditcard,4.105555556,electronics,0,0
406,1,4.836982,creditcard,405.1361111,electronics,0,0
34,1,4.962055,creditcard,33.91111111,electronics,1,0
200,1,2.94894,creditcard,199.6208333,electronics,0,0
638,1,4.962055,creditcard,0.001388889,electronics,1,0
32,1,4.057414,paypal,23.43333333,shopping,1,0
684,1,4.965339,paypal,316.0368056,food,0,0
2000,1,4.52458,creditcard,708.9708333,shopping,1,0
1657,1,4.921318,creditcard,26.22222222,food,1,0
1133,1,4.921349,creditcard,65.85625,shopping,1,0
4,1,5.017904,creditcard,3.365972222,shopping,0,0
599,1,4.962055,creditcard,0,food,1,0
2000,1,5.034622,paypal,544.96875,electronics,0,0
162,2,4.748314,creditcard,161.9548611,shopping,1,0
1407,1,4.962055,creditcard,0,electronics,0,0
2000,1,4.505662,creditcard,0,electronics,0,0
535,1,4.742303,creditcard,37.42708333,shopping,0,0
735,1,4.748314,creditcard,0,electronics,0,0
1657,1,3.066058,paypal,244.5597222,food,0,0
3,1,4.876771,creditcard,2.777777778,food,0,0
1397,1,4.748314,creditcard,342.8895833,food,0,0
222,1,4.921318,creditcard,221.2590278,shopping,0,0
913,1,4.895263,creditcard,0,food,0,0
1843,1,5.040929,creditcard,0.208333333,shopping,0,0
19,1,4.886641,creditcard,0.001388889,electronics,1,0
2000,1,5.017904,creditcard,225.3180556,electronics,1,0
2000,1,4.742303,paypal,259.1277778,food,1,0
1014,1,4.965339,creditcard,666.0104167,shopping,0,0
2000,1,4.748314,creditcard,0,shopping,1,0
964,1,4.876771,creditcard,0,shopping,1,0
66,1,4.745402,paypal,0.954166667,shopping,0,0
544,1,4.965339,paypal,0,electronics,0,0
1866,1,4.742303,paypal,145.4611111,electronics,0,0
2000,1,3.575983,creditcard,777.1263889,food,0,0
601,1,3.954522,creditcard,0,shopping,1,0
954,1,4.886641,creditcard,0.688888889,food,0,0
211,1,4.505662,storecredit,202.0784722,shopping,1,0
2000,1,4.876771,creditcard,0.000694444,shopping,1,0
883,3,4.505662,paypal,424.275,shopping,0,0
1183,1,4.962055,creditcard,0,electronics,0,0
2000,1,5.017904,creditcard,372.04375,electronics,0,0
605,1,4.921318,creditcard,0,electronics,0,0
1625,1,4.895263,creditcard,0,food,0,0
1933,1,3.575983,creditcard,82.03055556,shopping,0,0
3,1,4.836982,creditcard,0,food,0,0
2000,1,4.962055,paypal,0.002083333,electronics,0,0
1547,1,4.962055,paypal,0.002083333,electronics,0,0
54,1,4.962055,creditcard,0,electronics,0,0
279,1,4.745402,creditcard,113.7875,food,0,0
1,4,4.836982,creditcard,0,electronics,,1
2000,1,4.745402,creditcard,0.001388889,food,0,0
89,1,4.52458,paypal,88.04791667,shopping,1,0
1767,1,5.040929,creditcard,754.8847222,food,1,0
1609,1,4.965339,storecredit,0.057638889,shopping,0,0
261,1,4.895263,creditcard,254.7333333,food,1,0
2000,1,4.057414,paypal,0,shopping,1,0
978,2,4.876771,creditcard,0,food,1,0
1858,1,4.962055,creditcard,0.013194444,food,1,0
3,1,5.034622,paypal,1.982638889,shopping,0,0
2000,1,5.040929,paypal,0,food,0,0
150,1,5.040929,creditcard,86.14861111,electronics,0,0
182,1,4.52458,storecredit,174.5569444,shopping,0,0
931,1,3.575983,creditcard,0,electronics,0,0
158,1,4.461622,creditcard,0,electronics,0,0
